hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,geo_type,X,Y,cX,cY
usa52,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,state,18.2050808,-240,18.20508074711111,-260
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-90,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,104.807621,-100,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,104.807621,-120,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-130,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,70.166605,-120,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,70.166605,-100,87.4871130111111,-110
usa52,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,state,87.4871131,-90,87.4871130111111,-110
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-90,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,243.371686,-100,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,243.371686,-120,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-130,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,208.73067,-120,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,208.73067,-100,226.051178,-109.99999999999999
usa52,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,state,226.051178,-90,226.051178,-109.99999999999999
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-90,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,278.012702,-100,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,278.012702,-120,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-130,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,243.371686,-120,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,243.371686,-100,260.692194,-110.00000000000001
usa52,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,state,260.692194,-90,260.692194,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-90,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,208.73067,-100,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,208.73067,-120,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-130,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,174.089653,-120,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,174.089653,-100,191.41016155555556,-110.00000000000001
usa52,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,state,191.410162,-90,191.41016155555556,-110.00000000000001
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-150,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,208.73067,-160,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,208.73067,-180,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-190,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,174.089653,-180,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,174.089653,-160,191.41016155555556,-170.00000000000003
usa52,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,state,191.410162,-150,191.41016155555556,-170.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,243.371686,-120,243.371686,-140.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,260.692194,-130,243.371686,-140.00000000000003
usa52,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,state,260.692194,-150,243.371686,-140.00000000000003
