hexmap,abbr_usps,abbr_gpo,abbr_ap,abbr_short,abbr_long,name,fips,eta_region,geo_type,eta_region_name,eta_region_city,X,Y,cX,cY
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,312.653718,-240,295.33321,-230
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,295.33321,-250,295.33321,-230
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,278.012702,-240,295.33321,-230
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,278.012702,-220,295.33321,-230
usaETA,FL,Fla.,Fla.,Fla.,Flor.,Florida,12,3,state,Region 3,Atlanta,295.33321,-210,295.33321,-230
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,312.653718,-180,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,329.974226,-190,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,329.974226,-210,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,312.653718,-220,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,295.33321,-210,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,295.33321,-190,312.653718,-200.00000000000003
usaETA,GA,Ga.,Ga.,Ga.,Georg.,Georgia,13,3,state,Region 3,Atlanta,312.653718,-180,312.653718,-200.00000000000003
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,70.166605,-240,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,87.4871131,-250,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,87.4871131,-270,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,70.166605,-280,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,52.8460969,-270,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,52.8460969,-250,70.16660499999999,-260.00000000000006
usaETA,HI,Hawaii,Hawaii,Haw.,Hawaii,Hawaii,15,6,state,Region 6,San Francisco,70.166605,-240,70.16660499999999,-260.00000000000006
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,87.4871131,-90,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,104.807621,-100,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,104.807621,-120,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,87.4871131,-130,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,70.166605,-120,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,70.166605,-100,87.4871130111111,-110
usaETA,ID,Idaho,Idaho,Ida.,Idaho,Idaho,16,6,state,Region 6,San Francisco,87.4871131,-90,87.4871130111111,-110
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,226.051178,-90,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,243.371686,-100,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,243.371686,-120,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,226.051178,-130,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,208.73067,-120,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,208.73067,-100,226.051178,-109.99999999999999
usaETA,IL,Ill.,Ill.,Ill.,Illin.,Illinois,17,5,state,Region 5,Chicago,226.051178,-90,226.051178,-109.99999999999999
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,260.692194,-90,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,278.012702,-100,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,278.012702,-120,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,260.692194,-130,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,243.371686,-120,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,243.371686,-100,260.692194,-110.00000000000001
usaETA,IN,Ind.,Ind.,Ind.,Indi.,Indiana,18,5,state,Region 5,Chicago,260.692194,-90,260.692194,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-90,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,208.73067,-100,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,208.73067,-120,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-130,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,174.089653,-120,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,174.089653,-100,191.41016155555556,-110.00000000000001
usaETA,IA,Iowa,Iowa,Iowa,Iowa,Iowa,19,5,state,Region 5,Chicago,191.410162,-90,191.41016155555556,-110.00000000000001
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,191.410162,-150,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,208.73067,-160,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,208.73067,-180,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,191.410162,-190,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,174.089653,-180,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,174.089653,-160,191.41016155555556,-170.00000000000003
usaETA,KS,Kans.,Kan.,Kan.,Kansas,Kansas,20,5,state,Region 5,Chicago,191.410162,-150,191.41016155555556,-170.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-120,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,260.692194,-130,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,260.692194,-150,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-160,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,226.051178,-150,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,226.051178,-130,243.371686,-140.00000000000003
usaETA,KY,Ky.,Ky.,Ky.,Kent.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-120,243.371686,-140.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-180,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,226.051178,-190,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,226.051178,-210,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-220,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,191.410162,-210,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,191.410162,-190,208.73067,-200.00000000000003
usaETA,LA,La.,La.,La.,Louis.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-180,208.73067,-200.00000000000003
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,416.576766,0,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,433.897275,-10,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,433.897275,-30,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,416.576766,-40,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,399.256258,-30,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,399.256258,-10,416.5767664444444,-19.999999999999996
usaETA,ME,Maine,Maine,Me.,Maine,Maine,23,1,state,Region 1,Boston,416.576766,0,416.5767664444444,-19.999999999999996
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-120,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,364.615242,-130,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,364.615242,-150,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-160,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,329.974226,-150,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,329.974226,-130,347.29473399999995,-140
usaETA,MD,Md.,Md.,Md.,Mary.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-120,347.29473399999995,-140
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-60,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,399.256258,-70,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,399.256258,-90,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-100,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,364.615242,-90,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,364.615242,-70,381.93575000000004,-80.00000000000001
usaETA,MA,Mass.,Mass.,Mas.,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-60,381.93575000000004,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-60,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,295.33321,-70,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,295.33321,-90,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-100,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,260.692194,-90,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,260.692194,-70,278.012702,-80.00000000000001
usaETA,MI,Mich.,Mich.,Mic.,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-60,278.012702,-80.00000000000001
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-60,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,191.410162,-70,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,191.410162,-90,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-100,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,156.769145,-90,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,156.769145,-70,174.08965344444448,-80
usaETA,MN,Minn.,Minn.,Min.,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-60,174.08965344444448,-80
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-180,243.371686,-200.00000000000003
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,260.692194,-190,243.371686,-200.00000000000003
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,260.692194,-210,243.371686,-200.00000000000003
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,243.371686,-220,243.371686,-200.00000000000003
usaETA,MS,Miss.,Miss.,Mis.,Miss.,Mississippi,28,3,state,Region 3,Atlanta,226.051178,-210,243.371686,-200.00000000000003
