id,abb_usps,abb_gpo,name,fips,eta_region,type,eta_region_name,eta_region_city,X,Y
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,226.051178,-130
18,KY,Ky.,Kentucky,21,3,state,Region 3,Atlanta,243.371686,-120
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-180
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,226.051178,-190
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,226.051178,-210
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-220
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,191.410162,-210
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,191.410162,-190
19,LA,La.,Louisiana,22,4,state,Region 4,Dallas,208.73067,-180
20,ME,Maine,Maine,23,1,state,Region 1,Boston,416.576766,0
20,ME,Maine,Maine,23,1,state,Region 1,Boston,433.897275,-10
20,ME,Maine,Maine,23,1,state,Region 1,Boston,433.897275,-30
20,ME,Maine,Maine,23,1,state,Region 1,Boston,416.576766,-40
20,ME,Maine,Maine,23,1,state,Region 1,Boston,399.256258,-30
20,ME,Maine,Maine,23,1,state,Region 1,Boston,399.256258,-10
20,ME,Maine,Maine,23,1,state,Region 1,Boston,416.576766,0
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-120
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,364.615242,-130
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,364.615242,-150
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-160
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,329.974226,-150
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,329.974226,-130
21,MD,Md.,Maryland,24,2,state,Region 2,Philadelphia,347.294734,-120
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-60
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,399.256258,-70
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,399.256258,-90
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-100
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,364.615242,-90
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,364.615242,-70
22,MA,Mass.,Massachusetts,25,1,state,Region 1,Boston,381.93575,-60
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-60
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,295.33321,-70
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,295.33321,-90
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-100
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,260.692194,-90
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,260.692194,-70
23,MI,Mich.,Michigan,26,5,state,Region 5,Chicago,278.012702,-60
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-60
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,191.410162,-70
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,191.410162,-90
24,MN,Minn.,Minnesota,27,5,state,Region 5,Chicago,174.089653,-100
